# Created by Octave 3.6.2, Mon Apr 07 14:42:09 2014 BST <lewisn05@mc-s056977.home>
# name: z
# type: matrix
# rows: 41
# columns: 41
 8 7.609999999999999 7.24 6.89 6.56 6.25 5.96 5.69 5.44 5.21 5 4.81 4.64 4.49 4.359999999999999 4.25 4.16 4.09 4.04 4.01 4 4.01 4.04 4.09 4.16 4.25 4.36 4.49 4.640000000000001 4.81 5 5.21 5.44 5.69 5.960000000000001 6.25 6.56 6.890000000000001 7.240000000000001 7.610000000000001 8
 7.609999999999999 7.22 6.85 6.5 6.17 5.859999999999999 5.569999999999999 5.299999999999999 5.05 4.82 4.609999999999999 4.42 4.25 4.1 3.97 3.86 3.77 3.7 3.65 3.62 3.61 3.62 3.65 3.7 3.77 3.86 3.97 4.100000000000001 4.25 4.420000000000001 4.609999999999999 4.82 5.050000000000001 5.300000000000001 5.570000000000001 5.859999999999999 6.17 6.5 6.850000000000001 7.220000000000001 7.609999999999999
 7.24 6.85 6.48 6.13 5.800000000000001 5.49 5.2 4.93 4.68 4.45 4.24 4.05 3.88 3.73 3.6 3.49 3.4 3.33 3.28 3.25 3.24 3.25 3.28 3.330000000000001 3.4 3.49 3.600000000000001 3.73 3.880000000000001 4.050000000000001 4.24 4.45 4.680000000000001 4.930000000000001 5.200000000000001 5.49 5.800000000000001 6.130000000000001 6.480000000000001 6.850000000000001 7.24
 6.89 6.5 6.13 5.779999999999999 5.45 5.14 4.85 4.579999999999999 4.33 4.1 3.89 3.699999999999999 3.529999999999999 3.379999999999999 3.25 3.14 3.05 2.98 2.93 2.899999999999999 2.89 2.9 2.93 2.98 3.05 3.14 3.25 3.38 3.53 3.7 3.89 4.1 4.33 4.58 4.850000000000001 5.14 5.45 5.78 6.130000000000001 6.500000000000001 6.89
 6.56 6.17 5.800000000000001 5.45 5.120000000000001 4.81 4.52 4.25 4 3.77 3.56 3.37 3.2 3.05 2.92 2.81 2.720000000000001 2.65 2.600000000000001 2.57 2.56 2.570000000000001 2.600000000000001 2.650000000000001 2.720000000000001 2.81 2.920000000000001 3.050000000000001 3.200000000000001 3.370000000000001 3.56 3.77 4.000000000000001 4.250000000000001 4.520000000000001 4.81 5.120000000000001 5.450000000000001 5.800000000000002 6.170000000000002 6.56
 6.25 5.859999999999999 5.49 5.14 4.81 4.5 4.21 3.94 3.69 3.46 3.25 3.06 2.89 2.74 2.61 2.5 2.41 2.34 2.29 2.26 2.25 2.26 2.29 2.34 2.41 2.5 2.61 2.74 2.890000000000001 3.06 3.25 3.46 3.69 3.94 4.210000000000001 4.5 4.81 5.140000000000001 5.490000000000001 5.860000000000001 6.25
 5.96 5.569999999999999 5.2 4.85 4.52 4.21 3.919999999999999 3.649999999999999 3.399999999999999 3.17 2.96 2.77 2.6 2.45 2.319999999999999 2.21 2.12 2.05 2 1.97 1.96 1.97 2 2.05 2.12 2.21 2.32 2.45 2.6 2.77 2.96 3.17 3.4 3.65 3.920000000000001 4.21 4.52 4.850000000000001 5.200000000000001 5.570000000000001 5.96
 5.69 5.299999999999999 4.93 4.579999999999999 4.25 3.94 3.649999999999999 3.379999999999999 3.129999999999999 2.899999999999999 2.69 2.499999999999999 2.329999999999999 2.179999999999999 2.049999999999999 1.94 1.849999999999999 1.779999999999999 1.73 1.7 1.69 1.7 1.73 1.78 1.85 1.94 2.05 2.18 2.33 2.5 2.69 2.899999999999999 3.13 3.38 3.65 3.94 4.25 4.58 4.930000000000001 5.300000000000001 5.69
 5.44 5.05 4.68 4.33 4 3.69 3.399999999999999 3.129999999999999 2.88 2.65 2.44 2.25 2.08 1.93 1.8 1.69 1.6 1.53 1.48 1.45 1.44 1.45 1.48 1.53 1.6 1.69 1.8 1.93 2.080000000000001 2.25 2.44 2.65 2.88 3.130000000000001 3.400000000000001 3.69 4 4.33 4.680000000000001 5.050000000000001 5.44
 5.21 4.82 4.45 4.1 3.77 3.46 3.17 2.899999999999999 2.65 2.42 2.21 2.02 1.85 1.7 1.57 1.46 1.37 1.3 1.25 1.22 1.21 1.22 1.25 1.3 1.370000000000001 1.46 1.57 1.7 1.850000000000001 2.020000000000001 2.21 2.42 2.65 2.900000000000001 3.170000000000001 3.46 3.77 4.100000000000001 4.450000000000001 4.820000000000001 5.21
 5 4.609999999999999 4.24 3.89 3.56 3.25 2.96 2.69 2.44 2.21 2 1.81 1.64 1.49 1.36 1.25 1.16 1.09 1.04 1.01 1 1.01 1.04 1.09 1.16 1.25 1.36 1.49 1.640000000000001 1.81 2 2.21 2.44 2.69 2.960000000000001 3.25 3.56 3.890000000000001 4.240000000000001 4.610000000000001 5
 4.81 4.42 4.05 3.699999999999999 3.37 3.06 2.77 2.499999999999999 2.25 2.02 1.81 1.62 1.45 1.3 1.17 1.06 0.9699999999999998 0.8999999999999997 0.8499999999999999 0.8199999999999998 0.8099999999999998 0.8199999999999998 0.8499999999999999 0.9 0.9700000000000001 1.06 1.17 1.3 1.45 1.620000000000001 1.81 2.02 2.25 2.5 2.770000000000001 3.06 3.37 3.7 4.050000000000001 4.420000000000001 4.81
 4.64 4.25 3.88 3.529999999999999 3.2 2.89 2.6 2.329999999999999 2.08 1.85 1.64 1.45 1.279999999999999 1.13 0.9999999999999996 0.8899999999999997 0.7999999999999996 0.7299999999999995 0.6799999999999997 0.6499999999999997 0.6399999999999997 0.6499999999999997 0.6799999999999997 0.7299999999999999 0.7999999999999999 0.8899999999999997 0.9999999999999998 1.13 1.28 1.45 1.64 1.85 2.08 2.33 2.600000000000001 2.89 3.2 3.53 3.880000000000001 4.250000000000001 4.64
